Order ID,Customer ID,Product ID,Order Date,Quantity,Total Price,Order Status
1,242,47,2024-09-10,1,1962.81,Shipped
2,558,83,2024-10-19,3,168.07,Shipped
3,195,16,2024-04-02,4,228.76,Pending
4,658,82,2024-06-06,5,1943.63,Delivered
5,342,32,2024-04-02,2,1584.61,Pending
6,71,98,2024-04-16,5,453.96,Pending
7,239,43,2024-11-25,2,1587.86,Delivered
8,284,19,2024-07-04,2,1103.42,Pending
9,113,85,2024-12-03,1,307.02,Shipped
10,244,76,2024-04-08,3,80.77,Shipped
11,54,17,2024-12-29,4,1075.87,Delivered
12,488,58,2024-04-03,3,1050.81,Delivered
13,463,65,2024-09-25,2,1893.56,Delivered
14,675,67,2024-10-16,3,943.18,Delivered
15,63,62,2024-04-03,4,881.23,Delivered
16,503,92,2024-06-07,4,193.31,Delivered
17,330,78,2024-08-20,2,178.08,Shipped
18,640,82,2024-08-03,5,1119.3,Shipped
19,391,77,2024-10-12,5,625.05,Cancelled
20,102,90,2024-09-20,1,1712.95,Pending
21,441,58,2024-12-04,2,856.94,Cancelled
22,409,54,2024-07-12,1,659.47,Shipped
23,682,33,2024-11-30,3,1909.51,Cancelled
24,69,12,2024-11-10,1,231.8,Delivered
25,382,17,2024-05-16,5,166.96,Shipped
26,687,16,2024-04-30,4,739.52,Cancelled
27,53,37,2025-01-29,5,659.28,Delivered
28,592,65,2024-05-14,2,351.72,Cancelled
29,230,14,2024-08-03,3,1698.48,Shipped
30,118,98,2025-01-29,3,1169.5,Cancelled
31,575,99,2024-12-30,5,1246.47,Delivered
32,624,85,2024-12-22,3,106.46,Shipped
33,317,44,2024-05-29,3,61.91,Pending
34,580,85,2024-06-25,4,185.69,Delivered
35,94,96,2024-03-29,5,469.51,Cancelled
36,465,44,2024-05-30,2,771.6,Shipped
37,582,77,2024-06-10,1,1772.52,Pending
38,162,97,2024-11-10,5,147.04,Delivered
39,279,57,2024-06-18,4,997.04,Cancelled
40,425,35,2024-12-20,2,1522.14,Delivered
41,354,56,2024-11-17,1,602.33,Cancelled
42,540,86,2024-06-03,3,138.56,Cancelled
43,614,8,2024-07-25,1,448.63,Pending
44,141,98,2024-05-31,3,614.42,Delivered
45,8,64,2024-07-16,4,392.6,Cancelled
46,546,91,2024-09-07,2,1025.51,Shipped
47,74,51,2024-07-03,1,900.63,Cancelled
48,80,41,2024-11-24,5,887.1,Cancelled
49,656,54,2024-07-12,3,274.59,Delivered
50,333,22,2024-02-04,5,947.19,Shipped
51,91,56,2024-11-24,1,524.47,Cancelled
52,537,11,2025-02-01,4,1747.52,Shipped
53,227,43,2024-07-07,2,198.94,Delivered
54,544,66,2024-02-23,2,1816.55,Shipped
55,360,94,2024-07-09,2,510.72,Pending
56,263,26,2024-06-18,2,1224.68,Delivered
57,182,99,2024-10-09,4,954.71,Cancelled
58,698,73,2024-12-10,5,680.26,Shipped
