Shipment ID,Order ID,Carrier Name,Dispatch Date,Delivery Date,Status
1,8494,"Miller, Winters and Swanson",2025-02-01,2025-02-01,Delivered
2,7390,Cook-Hernandez,2025-02-01,2025-02-01,Delivered
3,1790,Walker-White,2025-02-01,2025-02-01,Delivered
4,5711,Arellano Ltd,2025-02-01,2025-02-01,Delayed
5,1788,Warren-Keith,2025-02-01,2025-02-01,Delivered
6,3866,Fisher Inc,2025-02-01,2025-02-01,Delayed
7,5371,"Graham, Mcgee and West",2025-02-01,2025-02-01,Delivered
8,3307,Fritz LLC,2025-02-01,2025-02-01,Delivered
9,6059,"Lee, Torres and Thompson",2025-02-01,2025-02-01,In Transit
10,2968,"Costa, Evans and Herman",2025-02-01,2025-02-01,Delayed
11,5694,Cook-Griffin,2025-02-01,2025-02-01,Delayed
12,8192,"Williams, Ward and Harvey",2025-02-01,2025-02-01,In Transit
13,1666,Woodward-Moore,2025-02-01,2025-02-01,Lost
14,2936,"Summers, Wheeler and Fernandez",2025-02-01,2025-02-01,Lost
15,4424,Williams Ltd,2025-02-01,2025-02-01,Delivered
16,5455,"Branch, Garcia and Hall",2025-02-01,2025-02-01,In Transit
17,4637,Maxwell-Pugh,2025-02-01,2025-02-01,Delivered
18,8427,"Smith, Murphy and Phillips",2025-02-01,2025-02-01,Lost
19,3296,Mcdaniel and Sons,2025-02-01,2025-02-01,Delivered
20,8124,Sullivan PLC,2025-02-01,2025-02-01,In Transit
21,2521,Roth-Randolph,2025-02-01,2025-02-01,Delivered
22,1633,Orozco Ltd,2025-02-01,2025-02-01,Lost
23,4202,Santana-Glover,2025-02-01,2025-02-01,In Transit
24,2126,Smith Group,2025-02-01,2025-02-01,In Transit
25,729,Rodriguez-Lewis,2025-02-01,2025-02-01,Lost
26,48,"Parks, Chapman and Alexander",2025-02-01,2025-02-01,Lost
27,6355,Kim Inc,2025-02-01,2025-02-01,Delivered
28,4862,Padilla-Richard,2025-02-01,2025-02-01,Delayed
29,3406,"Williams, Gomez and Paul",2025-02-01,2025-02-01,Delivered
30,4585,Mcintyre Ltd,2025-02-01,2025-02-01,Lost
31,34,Haas LLC,2025-02-01,2025-02-01,Delivered
32,6150,Mejia-Smith,2025-02-01,2025-02-01,Delivered
33,4025,Ramirez and Sons,2025-02-01,2025-02-01,Delayed
34,6523,Williams-Carr,2025-02-01,2025-02-01,Delayed
35,1210,Daniels Ltd,2025-02-01,2025-02-01,Lost
36,2937,Mooney LLC,2025-02-01,2025-02-01,Lost
37,619,Moyer LLC,2025-02-01,2025-02-01,Delivered
38,5420,Parks-Peterson,2025-02-01,2025-02-01,Delivered
39,1551,Jones-Brown,2025-02-01,2025-02-01,Delayed
40,1445,"Smith, Smith and Duncan",2025-02-01,2025-02-01,Delayed
41,3732,Payne Ltd,2025-02-01,2025-02-01,Delayed
42,1562,Williams-Dominguez,2025-02-01,2025-02-01,Lost
43,2142,"Adams, Frazier and Moran",2025-02-01,2025-02-01,Delivered
44,6248,"Charles, Parker and Hale",2025-02-01,2025-02-01,Delayed
45,714,Smith Group,2025-02-01,2025-02-01,Delayed
46,5112,Cook Inc,2025-02-01,2025-02-01,Delayed
47,2777,"Bailey, Smith and Snyder",2025-02-01,2025-02-01,Lost
48,841,Anderson-Myers,2025-02-01,2025-02-01,Delivered
49,4028,Medina-White,2025-02-01,2025-02-01,Delayed
50,4708,Stanley PLC,2025-02-01,2025-02-01,Lost
51,2520,Parker Inc,2025-02-01,2025-02-01,Delivered
52,4203,"Cobb, Duncan and Day",2025-02-01,2025-02-01,In Transit
53,5236,Sanchez-Walsh,2025-02-01,2025-02-01,Delayed
54,3886,Dixon-Sanchez,2025-02-01,2025-02-01,In Transit
55,6646,Cruz Group,2025-02-01,2025-02-01,In Transit
56,1900,"Pennington, Campbell and Gregory",2025-02-01,2025-02-01,Delivered
57,279,"Hawkins, Hendrix and Hayes",2025-02-01,2025-02-01,In Transit
58,4364,Jackson Ltd,2025-02-01,2025-02-01,Delayed
59,8698,Jackson-Williams,2025-02-01,2025-02-01,Delivered
60,7755,"Brock, White and Smith",2025-02-01,2025-02-01,Delayed
61,2706,Gomez-Lopez,2025-02-01,2025-02-01,Delivered
62,4391,Wu-Neal,2025-02-01,2025-02-01,In Transit
63,8300,Wilson-Owen,2025-02-01,2025-02-01,Lost
64,586,"Walton, Smith and Lopez",2025-02-01,2025-02-01,Delayed
65,6863,"Pope, Swanson and Jackson",2025-02-01,2025-02-01,Delivered
66,3588,Boyd Group,2025-02-01,2025-02-01,Delayed
67,5997,"Davis, Rodriguez and Rodriguez",2025-02-01,2025-02-01,Delayed
68,6584,"Watson, Pierce and Miller",2025-02-01,2025-02-01,Delivered
69,8342,"Brady, Vaughn and Ruiz",2025-02-01,2025-02-01,Delayed
70,9668,"Black, Fletcher and Christensen",2025-02-01,2025-02-01,In Transit
71,8615,Nichols-Stokes,2025-02-01,2025-02-01,Delivered
72,9119,Kelley Group,2025-02-01,2025-02-01,Delayed
73,3439,"Kerr, Mendoza and Jackson",2025-02-01,2025-02-01,Lost
74,4868,Ali-Collins,2025-02-01,2025-02-01,Lost
75,9501,Cowan and Sons,2025-02-01,2025-02-01,In Transit
76,718,Smith and Sons,2025-02-01,2025-02-01,Delayed
77,5892,"Phillips, Anderson and House",2025-02-01,2025-02-01,Lost
78,3417,"Dougherty, Brown and Davis",2025-02-01,2025-02-01,Delivered
79,8596,Pena-Simon,2025-02-01,2025-02-01,In Transit
80,7551,Fisher LLC,2025-02-01,2025-02-01,Delivered
81,6653,"Gonzalez, Smith and Martinez",2025-02-01,2025-02-01,Lost
82,16,Johnson and Sons,2025-02-01,2025-02-01,Delayed
83,165,"Dominguez, Robinson and Anderson",2025-02-01,2025-02-01,Delayed
84,4127,Jefferson-Martinez,2025-02-01,2025-02-01,Lost
85,6067,Robbins-Williams,2025-02-01,2025-02-01,In Transit
86,1681,Butler Inc,2025-02-01,2025-02-01,Lost
87,5155,Gonzalez-Fleming,2025-02-01,2025-02-01,In Transit
88,5459,"Mcguire, Hall and Clayton",2025-02-01,2025-02-01,Lost
89,6418,Sanders-Richards,2025-02-01,2025-02-01,Delayed
90,5296,Anderson Inc,2025-02-01,2025-02-01,In Transit
91,6517,Ewing Inc,2025-02-01,2025-02-01,Delayed
92,8764,Evans-Grimes,2025-02-01,2025-02-01,Lost
93,9679,"Curry, Schmidt and Wilson",2025-02-01,2025-02-01,Lost
94,2181,Wilkinson Ltd,2025-02-01,2025-02-01,Delivered
95,3309,Harvey Group,2025-02-01,2025-02-01,Delivered
96,4743,"Miller, Melton and Mcmillan",2025-02-01,2025-02-01,Delivered
97,691,Mason LLC,2025-02-01,2025-02-01,Delayed
98,3936,Novak-Butler,2025-02-01,2025-02-01,In Transit
99,1004,Reyes Ltd,2025-02-01,2025-02-01,Lost
100,3918,Hudson Group,2025-02-01,2025-02-01,In Transit
101,9407,Turner LLC,2025-02-01,2025-02-01,In Transit
102,610,"Johnson, Sanford and Myers",2025-02-01,2025-02-01,Lost
