Supplier ID,Name,Location,Contact,Lead Time
1,"Sawyer, Barnes and Smith",South Wendyview,659.959.2248x39589,18
2,Clark-Rivera,East Alice,905.762.2710x4331,4
3,Brown Group,North Michael,+1-635-703-4469,15
4,"Wang, Villa and Hoffman",North Brittany,834-724-9128,12
5,"Ingram, Vargas and Ramirez",Clarktown,731.392.2270,9
6,Taylor Group,Ortegamouth,381-538-6667x5485,19
7,Dougherty LLC,Port Samuel,874.518.6520x575,13
8,"Castro, Cuevas and Ayers",Brookstown,375.783.0945,12
9,Shaw-Smith,Arthurview,+1-476-904-4090x7977,4
10,"Golden, Christensen and Aguirre",West Anthonyberg,001-622-516-1070x518,8
11,"Mendez, Smith and Hood",Rachaelburgh,001-458-606-6013,16
12,Thompson Inc,Charlottehaven,(320)344-8515x79197,1
13,White Inc,West Brittany,5204357134,20
14,Brown-Mccarthy,West Donald,763-734-3244x74175,18
15,"Mills, Gallegos and Mcdaniel",North Stephanie,001-562-789-3654,11
16,"Schmitt, Arnold and Paul",Christopherborough,737-740-1827x279,20
17,"Gray, Chapman and Johnson",Lake Michaeltown,(467)955-1254,8
18,"Lopez, Johnson and Lamb",Watkinschester,001-367-834-5957x6403,3
19,Schroeder-Finley,Watkinsburgh,724.998.3922x50142,15
20,Martin-Smith,East Nicole,941-423-3613x2850,10
21,Garcia-Pierce,Halefort,+1-867-331-6252x65469,14
22,Freeman-Yang,East Nicoleburgh,001-535-255-8099x61327,4
23,Turner Inc,Patrickburgh,(924)346-7046x22681,5
24,Parks-Garcia,Laratown,(852)898-6707,2
25,Turner LLC,New Lindsaymouth,757.658.5126x86120,2
26,Robertson PLC,Grahammouth,201-677-5095x4654,10
27,Carter Group,South Markton,+1-415-908-6321x812,16
28,Orozco-Reed,Barkerbury,001-389-770-1550x2916,4
29,"Curry, Henderson and Johnson",Jenniferland,(513)894-4988x30597,4
30,Burgess-Osborne,Walterton,+1-662-944-0630x624,8
31,"Tyler, Reid and Davis",North Jenna,719.849.7969,18
32,Spears-Smith,Luismouth,(277)338-2646,5
33,"Tucker, Mercer and Miller",Kevinmouth,270.629.9295x966,13
34,"Manning, Fritz and Brooks",South Catherine,416-833-1942,15
35,"Ortiz, Potter and Barnes",Luisstad,+1-415-488-8636x7747,12
36,Roberts-Patel,Kathrynburgh,+1-316-896-6630x93299,18
37,Nguyen and Sons,New Colleen,+1-915-509-6883x27532,14
38,Anderson-Brown,East Beckymouth,797.432.7819,19
39,Ford Inc,Lake Antoniochester,676.816.4819x80770,5
40,"Mack, Cox and Moran",Pattersonville,424-591-2565,14
41,Clark-Davis,South Rachelfort,001-434-654-7574x94902,4
42,Walker LLC,Jenniferport,001-829-647-7422x294,16
43,"Perez, Rosales and Aguilar",New Alexander,(788)867-9252x985,20
44,Wong-Harrell,Thompsonfurt,3155343324,14
45,Porter-Hudson,Port Juliehaven,635.306.1581,9
46,Griffin PLC,East Jonathan,001-323-437-2094x8413,2
47,"Turner, Clark and Sanchez",Marshallside,5513371717,12
48,"Lawrence, George and Evans",New Russellville,001-773-999-7046x9472,7
49,"Campbell, Brewer and Baker",West Joshua,+1-984-971-2705,15
50,White Group,Codymouth,682-531-3348x45871,15
